sentence,true_book,similarity_The Adventures of Alice in Wonderland,similarity_Anna Karenina,similarity_Wuthering Heights,similarity_Frankenstein,belongs_to_The Adventures of Alice in Wonderland,belongs_to_Anna Karenina,belongs_to_Wuthering Heights,belongs_to_Frankenstein,knn_best_book,knn_best_score,num_books_belongs_to,knn_confidence
Are you going upstairs?,Wuthering Heights,0.0,0.5880746315703347,0.4119253684296653,0.0,0,1,1,0,Anna Karenina,0.5880746315703347,2.0,0.17614926314066937
"Yes, please do!",The Adventures of Alice in Wonderland,0.07506976758261219,0.8590370727494624,0.06589315966792546,0.0,1,1,0,0,Anna Karenina,0.8590370727494624,2.0,0.7839673051668502
Indeed and it is a strange thing; why need you worry about the peasants?,Anna Karenina,0.0,0.7402099419095366,0.2597900580904634,0.0,0,1,0,0,Anna Karenina,0.7402099419095366,1.0,0.4804198838190732
During all that time Henry was my only nurse.,Frankenstein,0.06885335282186744,0.6644721580527997,0.06522614097774262,0.2014483481475902,0,1,0,1,Anna Karenina,0.6644721580527997,2.0,0.4630238099052095
I must absent myself from all I loved while thus employed.,Frankenstein,0.0,0.26203670617550406,0.06482506490510692,0.673138228919389,0,0,0,1,Frankenstein,0.673138228919389,1.0,0.41110152274388495
Alice sighed wearily.,The Adventures of Alice in Wonderland,0.07794844653690687,0.5965779013702219,0.25962735039655965,0.06584630169631159,1,1,0,0,Anna Karenina,0.5965779013702219,2.0,0.3369505509736623
Heathcliff had the key in his hand that remained on the table.,Wuthering Heights,0.1340489767987675,0.6673645506285916,0.13241799165546914,0.06616848091717174,0,1,1,0,Anna Karenina,0.6673645506285916,2.0,0.5333155738298241
"Yes, she said in a shaking voice; but, Kostya, surely you see I m not to blame?",Anna Karenina,0.0,0.6748569908799008,0.3251430091200992,0.0,0,1,0,0,Anna Karenina,0.6748569908799008,1.0,0.3497139817598016
I wish to stay all night.,Wuthering Heights,0.0,0.7935694882627311,0.20643051173726895,0.0,0,1,1,0,Anna Karenina,0.7935694882627311,2.0,0.5871389765254622
"No, I could not.",Wuthering Heights,0.0,0.8592023708604838,0.07041632172850712,0.07038130741100913,0,1,1,0,Anna Karenina,0.8592023708604838,2.0,0.7887860491319767
I m forced to go on to old Madame Vrede.,Anna Karenina,0.06421643381519651,0.4784737654590638,0.39323332788135273,0.064076472844387,0,1,1,0,Anna Karenina,0.4784737654590638,2.0,0.08524043757771105
And he was happy at it.,Anna Karenina,0.0,0.9323578681772411,0.06764213182275888,0.0,0,1,0,0,Anna Karenina,0.9323578681772411,1.0,0.8647157363544822
"And then, to get them jocks out o t maister s cellar!",Wuthering Heights,0.06741061150282703,0.19604581395605497,0.736543574541118,0.0,0,0,1,0,Wuthering Heights,0.736543574541118,1.0,0.5404977605850629
"Ah, said she, you are come a-seeking your little mistress!",Wuthering Heights,0.0,0.7865588300117846,0.2134411699882154,0.0,0,1,1,0,Anna Karenina,0.7865588300117846,2.0,0.5731176600235692
"Although I possessed the capacity of bestowing animation, yet to prepare a frame for the reception of it, with all its intricacies of fibres, muscles, and veins, still remained a work of inconceivable difficulty and labour.",Frankenstein,0.0,0.1916739100887431,0.06433237207509865,0.7439937178361583,0,0,0,1,Frankenstein,0.7439937178361583,1.0,0.5523198077474152
"The same question was repeated at dinner and tea; and again on the morrow after, and received the same answer.",Wuthering Heights,0.1934665997069234,0.5172516374332241,0.2892817628598525,0.0,0,1,1,0,Anna Karenina,0.5172516374332241,2.0,0.2279698745733716
"At last the Mouse, who seemed to be a person of authority among them, called out, Sit down, all of you, and listen to me!",The Adventures of Alice in Wonderland,0.3495908384490936,0.19582522069460243,0.3262194978050385,0.12836444305126546,1,1,1,0,The Adventures of Alice in Wonderland,0.3495908384490936,3.0,0.023371340644055105
"The Mouse gave a sudden leap out of the water, and seemed to quiver all over with fright.",The Adventures of Alice in Wonderland,0.6802958581085023,0.31970414189149765,0.0,0.0,1,0,0,0,The Adventures of Alice in Wonderland,0.6802958581085023,1.0,0.3605917162170047
